id,mw,logp,smiles,ic50,unit,canonical,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
CHEMBL3929105,581.37,2.51,O=[N+]([O-])c1cc(C(F)(F)F)ccc1S(=O)(=O)N1CCN(c2nc(N3CCOCC3)ncc2Br)CC1,0.0000206,nM,O=[N+]([O-])c1cc(C(F)(F)F)ccc1S(=O)(=O)N1CCN(c2nc(N3CCOCC3)ncc2Br)CC1,14.0792457,-6.784947713,14.0792457,0.483119818,0.387450163,581.371,561.211,580.0351355,190,0,0.416161802,-0.377773867,0.416161802,0.377773867,1.142857143,1.8,2.4,12.99550982,-0.180627693,1.93915E-16,-2.714907171,0.4192,-2.867660595,2.463724688,-1.005683063,2.093917334,2058.736099,43.20422411,36.14462921,18.54712233,24.14629471,18.40624564,10.63930724,5.872869957,8.389397568,3.735606897,5.742175834,2.262363907,3.671497509,-2.56,48722055033,10.43276625,9.82959446,5.339188537,234.4709717,14.53668242,5.817862778,4.895483476,15.97163043,5.687386275,6.176298517,10.11431827,13.40177551,22.46043966,0,0,28.01478131,56.67950625,50.00958944,58.66438725,43.40682338,0,14.27317303,0,11.07178199,61.89894805,44.45064061,0,0,9.799819462,30.62483348,0,15.9299439,79.71340966,20.93645262,10.11431827,32.97862262,33.66835433,0,0,0,122.01,144.0124589,31.7033604,0,0,0,0,0,0,0,30.63476389,27.41517112,235.8679031,2.64283317,13.29481098,11.93044817,-4.977103569,-3.194635672,-6.856177702,-7.138794953,-33.70100245,-6.784947713,0.473684211,35,0,11,0,2,2,1,1,2,9,0,16,5,0,2,2,4,2.5136,121.8342,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
CHEMBL3973189,500.32,3.06,O=C(c1ccc(C(F)(F)F)cc1)N1CCN(c2nc(N3CCOCC3)ncc2Br)CC1,0.000024,nM,O=C(c1ccc(C(F)(F)F)cc1)N1CCN(c2nc(N3CCOCC3)ncc2Br)CC1,13.7717457,-5.516138195,13.7717457,0.404040813,0.646224466,500.319,479.151,499.0830717,166,0,0.415910267,-0.377773867,0.415910267,0.377773867,1.064516129,1.709677419,2.322580645,11.41533482,-0.180631836,1.29998E-16,-2.725223238,0.084716077,-2.869524566,1.96658764,-1.005683087,2.015917737,1779.087847,40.70422411,35.56442245,16.15041899,22.90227777,18.27518975,8.568188022,5.309148065,6.102146335,3.357683911,3.889643322,1.992758648,2.347398255,-2.4,15696043242,7.874313638,8.992915692,4.925425612,214.9886548,19.43659215,5.817862778,0,5.948339281,5.907179729,6.176298517,4.794537184,4.983978521,18.15522366,0,0,40.09961873,50.71750481,51.94007117,51.48857496,33.60332569,0,14.86786677,0,6.176298517,61.89894805,45.94219254,0,0,9.799819462,24.9374472,0,15.9299439,72.87417509,10.91316147,0,44.70736985,34.81528956,0,0,0,61.8,136.5907306,17.96578233,0,0,0,0,0,0,0,30.63476389,28.78592968,217.1237877,2.717817945,19.12977893,0,-3.873697137,-5.284591606,-7.298268861,-6.739431346,-31.94206231,0,0.45,31,0,7,0,2,2,1,1,2,6,0,11,3,0,2,2,4,3.0569,112.3245,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHEMBL3953682,530.71,3.33,O=[N+]([O-])c1cc(C(F)(F)F)ccc1S(=O)(=O)N1CCN(c2nc(Cl)ncc2Br)CC1,0.0000226,nM,O=[N+]([O-])c1cc(C(F)(F)F)ccc1S(=O)(=O)N1CCN(c2nc(Cl)ncc2Br)CC1,13.75962926,-6.532482538,13.75962926,0.36477423,0.338776658,530.71,518.614,528.9433993,162,0,0.416161802,-0.352887497,0.416161802,0.352887497,1.3,1.933333333,2.5,14.62872036,-0.180627693,0.813257998,-2.713361419,0.933862276,-2.8672527,3.55646157,-0.967497761,2.5000772,1606.843089,32.91976706,25.66713179,16.82555386,18.60585459,13.0161592,9.627185267,4.976697596,7.831286909,3.103166359,5.278766147,1.860762156,3.392207632,-2.03,198316859.8,11.54985204,8.244868348,4.502367457,198.2071577,4.899909731,5.817862778,4.895483476,15.30687747,5.687386275,6.176298517,10.11431827,13.40177551,22.46043966,0,0,39.6157212,43.68578688,25.92555051,42.96145585,49.05942399,0,14.27317303,0,11.07178199,30.88734847,49.73422693,0,0,4.899909731,24.6764942,0,27.53088379,53.6017198,16.19958967,10.11431827,22.01255417,33.66835433,5.28358632,0,0,109.54,107.4361966,31.7033604,0,4.899909731,0,0,0,0,0,25.89790094,28.05004256,163.7547165,8.398301559,14.0384617,10.88616762,-4.750935491,-1.094094372,-6.504883574,-6.539815342,-16.96099167,-6.532482538,0.333333333,30,0,9,0,1,1,1,1,2,7,0,15,4,0,1,1,3,3.3304,103.8122,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
CHEMBL1421,488.02,3.31,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1,1,nM,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1,13.5606213,-4.242648231,13.5606213,0.031270559,0.465717306,488.017,461.809,487.1557218,174,0,0.266999546,-0.395044548,0.395044548,0.266999546,1.424242424,2.303030303,3.090909091,10.98788375,-0.245939533,1.47738E-16,-2.766908151,1.32667E-16,-2.904258174,1.826284923,-1.061503042,1.946001723,2151.032424,45.92783875,41.73320451,17.30563004,26.29352486,21.13586306,9.527648635,5.530042249,6.885527529,3.423707961,4.532385659,2.103213821,2.917422264,-2.79,5.64324E+11,7.352308423,10.42964985,5.772233374,237.7339769,20.62834463,22.33727725,7.955242636,1.431199657,5.907179729,0,9.694446915,14.95193556,0,0,35.02256318,25.30965443,54.9758198,38.52024416,44.25447632,51.29957581,1.431199657,19.85184529,0,13.70378423,54.5628201,51.63020654,0,0,15.51953644,22.45467031,0,22.93772577,71.34231654,0,13.70378423,52.58698716,30.34257004,7.84631747,0,0,106.51,142.5389439,4.794537184,0,21.95641258,0,0,0,0,0,20.06074375,47.3832705,212.4641551,6.106607186,22.00206996,1.580942861,-2.139408487,-5.895384675,-4.454565987,-1.071120108,-31.81551812,0,0.363636364,33,3,9,0,1,1,1,2,3,9,3,11,10,0,1,1,4,3.31354,132.0467,0,1,0,0,0,3,0,0,0,0,1,1,0,1,0,5,2,0,0,0,0,0,0,0,0,0,0,1,0,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CHEMBL2375973,512.61,5.26,CCN(CC)CCOc1ccc(NC(=O)c2ccc(OC)c(Nc3nccc(-c4cccnc4)n3)c2)cc1,1.48,nM,CCN(CC)CCOc1ccc(NC(=O)c2ccc(OC)c(Nc3nccc(-c4cccnc4)n3)c2)cc1,14.13354908,-4.575627397,14.13354908,0.169873757,0.264967917,512.614,480.358,512.2535889,196,0,0.25524027,-0.494578493,0.494578493,0.25524027,1.131578947,2,2.815789474,10.81472191,-0.249006329,-1.68346E-17,-2.67473076,2.34358E-16,-2.768154127,1.548070175,-1.099229747,1.951789073,2703.442265,54.46929064,50.40802644,18.40802644,31.32672282,25.57193629,9.677509097,6.18065505,6.18065505,3.869421322,3.869421322,2.301164972,2.301164972,-4.5,6.00041E+13,7.541025095,13.16115702,7.043537047,267.5045065,24.99326235,18.05800891,2.823684157,5.948339281,5.907179729,0,9.778515705,9.967957042,0,0,13.70378423,73.41790645,58.27893725,43.09292074,58.21470393,23.23029156,0,19.85184529,0,13.70378423,43.70714346,84.5063242,0,22.75640315,20.09335261,17.32311183,11.49902367,0,58.84654178,0,0,65.1845296,78.94287271,2.823684157,11.25737949,0,101.5,187.494043,4.794537184,0,5.309813353,0,0,0,0,0,14.95193556,53.42016675,269.3091735,0,23.86817649,-0.710079517,-5.86331947,-6.219901223,-13.50130241,-2.860898259,-26.03375624,-3.571426163,0.24137931,38,2,9,0,0,0,2,2,4,8,2,9,15,0,0,0,4,5.2637,149.2179,0,0,0,0,0,3,0,0,0,0,1,1,0,0,0,4,2,0,0,1,0,0,0,0,0,0,0,1,0,3,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CHEMBL2375977,540.62,4.64,COc1ccc(C(=O)Nc2ccc(OCCCN3CCOCC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,6.34,nM,COc1ccc(C(=O)Nc2ccc(OCCCN3CCOCC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,14.16442546,-4.550567306,14.16442546,0.16822067,0.26282634,540.624,508.368,540.2485035,206,0,0.25524027,-0.494578493,0.494578493,0.25524027,1.2,2.075,2.925,11.03760702,-0.243468377,9.49628E-17,-2.736645587,1.73762E-16,-2.847460341,1.824612684,-1.076848156,1.651426064,2842.090682,55.67639742,51.31627473,19.31627473,32.2838296,26.23018458,10.33575739,6.611841268,6.611841268,4.124059677,4.124059677,2.4993848,2.4993848,-4.54,1.90055E+14,8.245998544,13.49923748,7.30724064,277.9771627,24.83021557,11.49902367,2.823684157,5.948339281,5.907179729,0,14.67842544,9.967957042,0,0,0,66.79711198,65.78962239,68.25291069,62.95156689,23.23029156,0,19.85184529,0,6.372924901,56.82511395,84.5063242,0,22.75640315,20.09335261,17.32311183,11.49902367,0,71.96451226,4.736862954,0,57.85367026,78.94287271,2.823684157,11.25737949,0,110.73,193.2811541,4.794537184,0,5.309813353,0,0,0,0,0,19.68879852,53.42016675,277.5189879,0,24.09453128,-0.70279194,-5.856883059,-6.20284662,-13.46531987,-7.408618852,-25.23729591,-3.573096269,0.266666667,40,2,10,0,1,1,2,2,4,9,2,10,12,0,1,1,5,4.6442,153.3059,0,0,0,0,0,3,0,0,0,0,1,1,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CHEMBL2178277,596.02,4.88,CN1CCN(Cc2ccc(NC(=O)c3ccc(Cl)c(-n4cc(-c5cnc6[nH]ncc6c5)nn4)c3)cc2C(F)(F)F)CC1,0.36,nM,CN1CCN(Cc2ccc(NC(=O)c3ccc(Cl)c(-n4cc(-c5cnc6[nH]ncc6c5)nn4)c3)cc2C(F)(F)F)CC1,15.15508691,-6.166701937,15.15508691,0.326897976,0.288121116,596.017,570.817,595.1822688,216,0,0.4162995,-0.321981356,0.4162995,0.321981356,1.238095238,2.071428571,2.857142857,12.1475298,-0.24351689,0.224973703,-2.776637231,0.4192,-2.895991692,2.597470899,-1.072151703,1.546862793,2911.753782,51.33953412,44.94502854,20.70095749,30.17512792,23.30858225,11.29211953,7.726421561,8.104386034,4.977676122,5.251173784,3.163156253,3.337701532,-4.33,3.6169E+13,11.06178179,11.15607452,5.841888435,277.8816008,10.20972308,5.693927995,8.470861377,0,5.907179729,6.176298517,14.78615347,9.665781456,18.26992695,5.098681808,22.85674369,48.79379064,78.67756834,42.32684706,52.31691328,34.22890733,0,39.96805619,0,12.6731582,38.27307899,82.52860437,0,16.94476576,5.309813353,18.85863142,0,11.60093989,78.83850155,12.6731582,0,53.01233845,60.81561659,7.84631747,27.9781672,0,107.86,177.46117,4.794537184,13.17124514,5.386224214,9.773509493,0,0,0,0,20.39472723,45.95207084,253.7705233,6.280540163,15.83819813,9.098045579,-11.0950016,-2.138575716,-10.83115085,-8.583289955,-26.47817792,0,0.25,42,2,10,0,1,1,2,3,5,8,2,14,7,0,1,1,6,4.8775,151.4229,0,0,0,0,0,6,1,0,0,0,1,1,0,0,0,7,2,0,0,1,0,1,0,0,0,3,0,1,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CHEMBL255863,529.53,6.36,Cc1cn(-c2cc(NC(=O)c3ccc(C)c(Nc4nccc(-c5cccnc5)n4)c3)cc(C(F)(F)F)c2)cn1,0.33,nM,Cc1cn(-c2cc(NC(=O)c3ccc(C)c(Nc4nccc(-c5cccnc5)n4)c3)cc(C(F)(F)F)c2)cn1,14.49418042,-5.726204644,14.49418042,0.009618405,0.265859822,529.526,507.35,529.183793,196,0,0.416061884,-0.323896904,0.416061884,0.323896904,1.076923077,1.974358974,2.769230769,12.08489465,-0.245941876,0.44440839,-2.354394404,0.533745297,-2.330202839,2.739933588,-0.946643526,1.817836389,2684.484557,46.49423466,40.67263688,18.67263688,27.78029964,21.01960001,10.12517282,7.024389808,7.024389808,4.387738454,4.387738454,2.753146099,2.753146099,-5.06,2.89608E+12,10.25003977,10.36474192,5.926969544,252.2005892,15.18672635,1.370758556,2.823684157,5.948339281,5.907179729,6.176298517,9.778515705,14.95193556,13.17124514,0,6.042418708,67.60658539,61.10519399,41.07454043,48.20463761,23.23029156,0,24.50301373,0,19.88008275,10.61962671,107.7610034,0,16.94476576,10.61962671,30.49435697,0,0,30.41019346,6.176298517,13.70378423,54.59399078,85.37672093,2.823684157,16.94476576,0,97.62,173.1259568,17.96578233,0,9.876913001,0,0,0,0,0,19.93591408,30.23885528,223.4297986,0,28.27460164,-0.87861014,-12.49558651,-3.317912471,-12.56857993,-11.19746288,-6.829581661,0,0.107142857,39,2,8,0,0,0,2,3,5,7,2,11,8,0,0,0,5,6.35584,140.9809,0,0,0,0,0,5,0,0,0,0,1,1,0,0,0,5,2,0,0,0,0,0,0,0,0,3,0,1,0,3,1,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CHEMBL326753,396.45,4.43,Cc1ccc(NC(=O)c2ccc(N)cc2)cc1Nc1nccc(-c2cccnc2)n1,67608.3,nM,Cc1ccc(NC(=O)c2ccc(N)cc2)cc1Nc1nccc(-c2cccnc2)n1,13.50450171,-3.386354433,13.50450171,0.034751879,0.431160146,396.454,376.294,396.1698593,148,0,0.255161392,-0.398728219,0.398728219,0.255161392,1.166666667,2.066666667,2.9,11.39007221,-0.243644639,0.301572654,-2.364195236,0.361260673,-2.377592714,2.546481974,-0.944845967,2.020805943,2060.853192,38.05507707,34.59152986,14.59152986,22.96380306,17.7026533,7.91379892,5.269006946,5.269006946,3.276149804,3.276149804,1.991450074,1.991450074,-4.26,21638529366,6.631883423,8.400769625,4.413482251,201.9242876,16.33934368,0,5.647368313,5.948339281,5.907179729,0,9.778515705,9.967957042,0,0,6.042418708,66.79711198,50.82002311,23.51378923,32.3740424,28.91767783,0,14.95193556,0,6.851892117,16.33934368,90.06977569,0,11.25737949,16.33934368,23.01049811,0,0,20.85911529,0,6.851892117,37.85357707,78.94287271,5.647368313,11.25737949,0,105.82,137.0967251,4.794537184,0,16.33934368,0,0,0,0,0,14.95193556,27.57950521,162.0792463,0,24.49210293,-0.336173935,-7.102209529,-2.745056966,-10.5168474,-2.568040299,-3.386354433,0,0.043478261,30,4,7,0,0,0,2,2,4,6,3,7,7,0,0,0,4,4.42512,118.5323,0,0,0,1,0,3,0,0,0,0,1,1,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CHEMBL113302,382.43,4.12,Nc1ccc(C(=O)Nc2cccc(Nc3nccc(-c4cccnc4)n3)c2)cc1,9772.37,nM,Nc1ccc(C(=O)Nc2cccc(Nc3nccc(-c4cccnc4)n3)c2)cc1,13.37183389,-1.648424759,13.37183389,0.090873121,0.448505921,382.427,364.283,382.1542092,142,0,0.255161389,-0.398728219,0.398728219,0.255161389,1.034482759,1.896551724,2.75862069,11.69418281,-0.140474574,0.560806196,-2.324353223,0.585742753,-2.377117556,2.751684444,-0.622351709,1.924727473,1963.199987,35.55507707,32.09152986,14.09152986,21.75247819,16.4526533,7.66379892,5.019006946,5.019006946,3.095248105,3.095248105,1.900999225,1.900999225,-4.26,7155434853,6.664518901,8.179794678,4.535114248,192.7494045,16.33934368,0,5.647368313,5.948339281,5.907179729,0,9.778515705,9.967957042,0,0,6.042418708,60.42418708,46.70774744,24.88454778,29.63252528,28.91767783,0,14.95193556,0,0,16.33934368,90.54874291,0,11.25737949,16.33934368,23.01049811,0,0,20.85911529,0,0,29.54860846,84.98529142,5.647368313,11.25737949,0,105.82,130.7238002,4.794537184,0,16.33934368,0,0,0,0,0,14.95193556,24.8379881,145.256579,0,24.40808651,-0.131042133,-5.319086325,-2.537559801,-10.61414606,-2.396164499,0,0,0,29,4,7,0,0,0,2,2,4,6,3,7,6,0,0,0,4,4.1167,113.7953,0,0,0,1,0,3,0,0,0,0,1,1,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
